Consulta de Precios y Stock,,,,,,
,,,,,,
Código,Producto,GENERAL,DEPOSITO,Proveedor,Unidad,Observaciones
14159,REPUESTO N°3 BLANCO 8 HOJAS MIGUEL ANGEL,"1,500.00",0.00,,UNIDAD,
14160,REPUESTO DIBUJO BLANCO RIVADAVIA 8 HOJAS,"1,500.00",0.00,,UNIDAD,
14161,RECIBO CHICO 30 HOJAS MIL28,"1,900.00",0.00,,UNIDAD,
14163,RECIBO MIGNON 30 HOJAS MIL28,"1,200.00",0.00,,UNIDAD,
14166,RECIBO CONGRESO,"2,250.00",0.00,,UNIDAD,
14167,TALONARIO DUPLICADO CHICO ALIANZA,"1,500.00",0.00,COMERCIAL SUMA SRL,UNIDAD,
14168,TALONARIO DUPLICADO GRANDE ALIANZA,"2,500.00",0.00,,UNIDAD,
14169,FORMULARIO N°1006 NEUTRO,350.00,0.00,,UNIDAD,
14170,FICHAS RAYADAS,"2,250.00",0.00,,UNIDAD,
14171,MAPAS RIVADAVIA C/U,100.00,0.00,,UNIDAD,
14173,RESMA HOJA A4 PAMPA,"8,900.00",0.00,,UNIDAD,
14175,SACAPUNTA CLEAN,"2,500.00",0.00,,UNIDAD,
14176,SACAPUNTA MAPED /CAJITA,"2,900.00",0.00,,UNIDAD,
14177,SACAPUNTA C/CAJA MAPED,"2,600.00",0.00,,UNIDAD,
14178,SACAPUNTA HOTWHEELS,"1,500.00",0.00,,UNIDAD,
14179,REPUESTO CONTABILIDAD 8 HOJAS RIVADAVIA,"1,100.00",0.00,,UNIDAD,
1418,PORTA PRECIOS X100 SIFAP,"3,600.00",0.00,COMERCIAL SUMA SRL,UNIDAD,
14185,REPUESTO CALCAR MIL28,"2,000.00",0.00,,UNIDAD,
14186,CUADERNO MUSICA RIVADAVIA 20 HOJAS,"2,200.00",0.00,,UNIDAD,
14187,CUADERNO DE COMUNICACIONES RIVADAVIA,"1,200.00",0.00,,UNIDAD,
14188,CUADERNO DE COMUNICACIONES,990.00,0.00,,UNIDAD,
1419,BROCHES N°24/6 EZCO,650.00,0.00,,UNIDAD,
14190,CUADERNO HOJAS CUADRICULADAS 48 HOJAS RIVADAVIA,"3,200.00",0.00,,UNIDAD,
14191,CUADERNO GLORIA 48 HOJAS LISAS,"1,250.00",0.00,,UNIDAD,
14193,CUADERNO DE MUSICA DISEÑO,"1,900.00",0.00,,UNIDAD,
14194,CUADERNO HOJAS CUADRICULADAS 80 HOJAS,"3,400.00",0.00,,UNIDAD,
14199,TEMPERAS X1,200.00,0.00,,UNIDAD,
143,ARTICULO REPOSTERIA,0.00,-11.00,,UNIDAD,
143-1,BROWNIE AGUILA CAJA 425G,"5,500.00",0.00,ARCOR,UNIDAD,
143-11,LECHE MILKAUT 1L,"2,200.00",0.00,VENDOR,UNIDAD,
143-12,HARINA FLORENCIA 000 1KG,950.00,0.00,BYC,UNIDAD,
143-13,HARINA CORONA TRIGO LEUDANTE 1KG,"1,500.00",0.00,BYC,UNIDAD,
143-14,HARINA FLORENCIA 0000 1KG,"1,400.00",-8.00,BYC,UNIDAD,
143-15,HARINA FLORENCIA LEUDANTE 1KG,"1,700.00",-16.00,BYC,UNIDAD,
143-2,BROWNIE POLVO LEDEVIT 250G,"4,200.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
143-200,BIZCOCHUELO CHOCOLATE GODET,"4,900.00",0.00,ARCOR,UNIDAD,
143-21,FONDANT D.G.E 1KG,"5,700.00",-1.00,BYC,UNIDAD,
143-30,PASTA DE GOMA CORAL 250G,"2,000.00",0.00,BYC,UNIDAD,
143-36,PASTA RELLENO MICKY BANANITA MAPSA 450G,"5,000.00",-4.00,SAPORE,UNIDAD,
143-37,PASTA RELLENO MICKY MENTA MAPSA 450G,"5,300.00",0.00,SAPORE,UNIDAD,
143-38,PASTA RELLENO MICKY CHOCOLATE MAPSA 450G,"8,900.00",-1.00,SAPORE,UNIDAD,
143-39,PASTA RELLENO MICKY FRUTILLA MAPSA 450G,"5,100.00",0.00,SAPORE,UNIDAD,
143-4,BIZCOCHUELO VAINILLA GODET ARCOR,"3,800.00",-2.00,ARCOR,UNIDAD,
143-42,LATA ARANDANOS ENTEROS 520G,"6,900.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
143-5,BIZCOCHUELO MARMOLADO GODET ARCOR 500G,"4,500.00",-1.00,ARCOR,UNIDAD,
143-64,CHOCOLATE MAPRICUBER SEMI AMARGO 800G,"15,200.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
143-65,CHOCOLATE MAPRICUBER BLANCO 800G,"15,200.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
143-66,CHOCOLATE MAPRICUBER C/LECHE 800G,"15,200.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
143-7,BIZCOCHUELO VAINILLA ROYAL,"4,700.00",0.00,QUIPAR,UNIDAD,
143.3,MANTECOL UNTABLE,"6,500.00",0.00,,UNIDAD,
143.4,EXTACTO DE MALTA,"4,000.00",0.00,,UNIDAD,
143.6,GEL CON BRILLO LEDEVIT DESTELLO X 310G,"3,300.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
1430,PLACA SILICONA CON MEDIDAS P/TORTA,"5,500.00",0.00,"SOUVELUZ, JAVIER",UNIDAD,
1431,PAPEL MANTECA REUTILIZABLE PLANCHA 40X30,"2,500.00",0.00,"SOUVELUZ, JAVIER",UNIDAD,
14310,MOLDE SILICONA CADENA,"5,400.00",0.00,,UNIDAD,
14311,MARTILLO DE MADERA GRANDE,"1,200.00",0.00,,UNIDAD,
143110,PASTA NUTELLA 140G,"6,800.00",-1.00,,UNIDAD,
14312,PORTA CUPCAKE,"19,000.00",0.00,,UNIDAD,
143120,AEROGRAFO MANUAL,"16,000.00",0.00,IMPORTADORA LOW COST S. R. L.,UNIDAD,
14313,POLVO DE HORNEAR ROYAL 50G,"1,700.00",-1.00,,UNIDAD,
143130,SALES DECORATIVAS,"4,500.00",0.00,,UNIDAD,
143150,ESPATULA DE SILICONA CHICA 21CM,"3,500.00",0.00,IMPORTADORA LOW COST S. R. L.,UNIDAD,
14316,ESPATULA METAL CON MANGO DE MADERA,"3,500.00",0.00,,UNIDAD,
